[Sun May 07 20:30:40.213956 2023] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.54 (Debian) PHP/8.2.3 configured -- resuming normal operations
[Sun May 07 20:30:40.214934 2023] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Sun May 07 20:47:10.787531 2023] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue May 09 17:51:04.019187 2023] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.54 (Debian) PHP/8.2.3 configured -- resuming normal operations
[Tue May 09 17:51:04.021125 2023] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue May 09 18:25:19.439987 2023] [php:warn] [pid 23] [client 172.18.0.1:60728] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:25:19.444732 2023] [php:warn] [pid 23] [client 172.18.0.1:60728] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:25:19.445312 2023] [php:warn] [pid 23] [client 172.18.0.1:60728] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:25:34.043720 2023] [php:error] [pid 17] [client 172.18.0.1:60726] PHP Fatal error:  Uncaught TypeError: Cannot access offset of type string on string in /var/www/html/Praktikum/Prak2/Bestellung.php:159\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(181): Bestellung->processReceivedData()\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(192): Bestellung::main()\n#2 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:26:50.450279 2023] [php:error] [pid 19] [client 172.18.0.1:49540] PHP Fatal error:  Uncaught TypeError: Cannot access offset of type string on string in /var/www/html/Praktikum/Prak2/Bestellung.php:160\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(184): Bestellung->processReceivedData()\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(195): Bestellung::main()\n#2 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 160, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:28:40.051483 2023] [php:error] [pid 18] [client 172.18.0.1:55024] PHP Fatal error:  Uncaught TypeError: Cannot access offset of type string on string in /var/www/html/Praktikum/Prak2/Bestellung.php:159\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(183): Bestellung->processReceivedData()\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(194): Bestellung::main()\n#2 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:28:49.622961 2023] [php:error] [pid 23] [client 172.18.0.1:55014] PHP Fatal error:  Uncaught TypeError: Cannot access offset of type string on string in /var/www/html/Praktikum/Prak2/Bestellung.php:159\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(183): Bestellung->processReceivedData()\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(194): Bestellung::main()\n#2 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:29:29.894988 2023] [php:warn] [pid 20] [client 172.18.0.1:53986] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
